dt_venda;cod_prod;cod_cliente;pr_custo;pr_unit;qtd
02/01/2019;4;10;R$ 1,69;R$ 2,41;62
02/01/2019;7;6;R$ 1,01;R$ 1,44;68
02/01/2019;1;4;R$ 6,68;R$ 8,35;26
02/01/2019;3;5;R$ 0,77;R$ 0,96;75
02/01/2019;5;7;R$ 3,00;R$ 4,28;76
02/01/2019;5;10;R$ 3,00;R$ 4,28;51
02/01/2019;6;7;R$ 2,85;R$ 3,00;15
02/01/2019;3;4;R$ 0,77;R$ 0,96;86
02/01/2019;4;5;R$ 1,69;R$ 2,41;49
02/01/2019;4;9;R$ 1,69;R$ 2,41;71
02/01/2019;6;10;R$ 2,85;R$ 3,00;70
02/01/2019;9;6;R$ 2,64;R$ 2,78;71
02/01/2019;3;6;R$ 0,77;R$ 0,96;78
02/01/2019;5;6;R$ 3,00;R$ 4,28;45
02/01/2019;5;1;R$ 3,00;R$ 4,28;80
02/01/2019;7;2;R$ 1,01;R$ 1,44;42
02/01/2019;1;9;R$ 6,68;R$ 8,35;96
02/01/2019;7;5;R$ 1,01;R$ 1,44;71
02/01/2019;9;3;R$ 2,64;R$ 2,78;73
02/01/2019;9;6;R$ 8,13;R$ 8,56;22
02/01/2019;4;1;R$ 1,67;R$ 2,39;44
02/01/2019;4;8;R$ 1,70;R$ 2,43;105
02/01/2019;5;7;R$ 2,97;R$ 4,24;101
02/01/2019;1;3;R$ 6,61;R$ 8,27;72
02/01/2019;2;7;R$ 1,15;R$ 1,22;75
02/01/2019;3;4;R$ 0,75;R$ 0,94;41
02/01/2019;7;2;R$ 1,03;R$ 1,47;100
02/01/2019;1;2;R$ 6,68;R$ 8,35;16
02/01/2019;1;7;R$ 6,81;R$ 8,52;80
02/01/2019;9;2;R$ 2,61;R$ 2,75;33
02/01/2019;2;10;R$ 1,12;R$ 1,18;15
02/01/2019;5;10;R$ 3,00;R$ 4,28;12
02/01/2019;5;10;R$ 3,06;R$ 4,37;20
02/01/2019;9;10;R$ 2,59;R$ 2,72;69
02/01/2019;2;5;R$ 1,09;R$ 1,14;23
02/01/2019;3;3;R$ 0,77;R$ 0,96;24
02/01/2019;3;4;R$ 0,76;R$ 0,95;82
02/01/2019;2;4;R$ 1,14;R$ 1,20;56
02/01/2019;5;3;R$ 3,00;R$ 4,28;58
02/01/2019;5;7;R$ 3,00;R$ 4,28;11
02/01/2019;5;6;R$ 3,00;R$ 4,28;61
02/01/2019;6;1;R$ 2,79;R$ 2,94;115
02/01/2019;6;4;R$ 2,82;R$ 2,97;31
03/01/2019;6;4;R$ 2,85;R$ 3,00;10
03/01/2019;7;10;R$ 1,01;R$ 1,44;69
03/01/2019;2;7;R$ 1,12;R$ 1,18;47
03/01/2019;7;10;R$ 1,01;R$ 1,44;44
03/01/2019;7;5;R$ 1,01;R$ 1,44;30
03/01/2019;6;3;R$ 2,85;R$ 3,00;72
03/01/2019;7;3;R$ 1,01;R$ 1,44;52
03/01/2019;9;10;R$ 2,64;R$ 2,78;71
03/01/2019;9;1;R$ 2,64;R$ 2,78;87
03/01/2019;2;7;R$ 1,12;R$ 1,18;39
03/01/2019;3;2;R$ 0,77;R$ 0,96;72
03/01/2019;5;9;R$ 3,00;R$ 4,28;70
03/01/2019;1;1;R$ 6,68;R$ 8,35;98
03/01/2019;1;3;R$ 6,68;R$ 8,35;62
03/01/2019;2;5;R$ 1,12;R$ 1,18;44
03/01/2019;2;8;R$ 1,12;R$ 1,18;62
03/01/2019;5;3;R$ 3,00;R$ 4,28;29
03/01/2019;6;4;R$ 2,85;R$ 3,00;43
03/01/2019;7;8;R$ 1,01;R$ 1,44;70
03/01/2019;7;3;R$ 1,01;R$ 1,44;66
03/01/2019;2;1;R$ 1,10;R$ 1,16;38
03/01/2019;6;8;R$ 2,94;R$ 3,09;101
03/01/2019;7;9;R$ 1,04;R$ 1,48;96
03/01/2019;7;1;R$ 1,01;R$ 1,44;87
03/01/2019;4;3;R$ 1,65;R$ 2,36;71
03/01/2019;5;1;R$ 2,91;R$ 4,15;15
03/01/2019;2;8;R$ 1,14;R$ 1,20;12
03/01/2019;7;7;R$ 1,00;R$ 1,43;54
03/01/2019;7;9;R$ 1,01;R$ 1,44;15
03/01/2019;7;10;R$ 1,03;R$ 1,47;48
03/01/2019;3;9;R$ 0,79;R$ 0,99;101
03/01/2019;3;3;R$ 0,79;R$ 0,99;36
03/01/2019;7;9;R$ 1,01;R$ 1,44;111
03/01/2019;9;7;R$ 2,72;R$ 2,86;113
03/01/2019;9;10;R$ 2,69;R$ 2,84;58
03/01/2019;9;5;R$ 8,13;R$ 8,56;104
03/01/2019;9;8;R$ 7,97;R$ 8,39;59
03/01/2019;2;10;R$ 1,12;R$ 1,18;81
03/01/2019;4;5;R$ 1,64;R$ 2,34;33
03/01/2019;9;6;R$ 2,61;R$ 2,75;28
03/01/2019;5;1;R$ 3,00;R$ 4,28;46
03/01/2019;3;10;R$ 0,74;R$ 0,93;86
03/01/2019;5;1;R$ 3,03;R$ 4,32;67
03/01/2019;9;5;R$ 2,56;R$ 2,70;93
04/01/2019;1;7;R$ 6,68;R$ 8,35;55
04/01/2019;4;10;R$ 1,69;R$ 2,41;92
04/01/2019;9;9;R$ 2,64;R$ 2,78;78
04/01/2019;9;7;R$ 8,13;R$ 8,56;91
04/01/2019;4;2;R$ 1,69;R$ 2,41;18
04/01/2019;5;10;R$ 3,00;R$ 4,28;94
04/01/2019;9;9;R$ 8,13;R$ 8,56;48
04/01/2019;7;6;R$ 1,01;R$ 1,44;27
04/01/2019;3;1;R$ 0,77;R$ 0,96;44
04/01/2019;7;1;R$ 1,01;R$ 1,44;24
04/01/2019;9;1;R$ 2,64;R$ 2,78;69
04/01/2019;9;2;R$ 8,13;R$ 8,56;93
04/01/2019;7;8;R$ 1,01;R$ 1,44;34
04/01/2019;6;6;R$ 2,85;R$ 3,00;80
04/01/2019;9;5;R$ 8,13;R$ 8,56;59
04/01/2019;4;10;R$ 1,69;R$ 2,41;77
04/01/2019;4;4;R$ 1,69;R$ 2,41;98
04/01/2019;9;7;R$ 8,13;R$ 8,56;69
04/01/2019;4;3;R$ 1,69;R$ 2,41;71
04/01/2019;5;5;R$ 3,00;R$ 4,28;85
04/01/2019;2;3;R$ 1,12;R$ 1,18;58
04/01/2019;3;10;R$ 0,77;R$ 0,96;78
04/01/2019;3;2;R$ 0,77;R$ 0,96;49
04/01/2019;4;5;R$ 1,69;R$ 2,41;46
04/01/2019;9;10;R$ 2,64;R$ 2,78;26
04/01/2019;5;4;R$ 3,03;R$ 4,32;18
04/01/2019;5;1;R$ 2,97;R$ 4,24;33
04/01/2019;6;4;R$ 2,85;R$ 3,00;56
04/01/2019;9;9;R$ 2,59;R$ 2,72;92
04/01/2019;4;1;R$ 1,72;R$ 2,46;35
04/01/2019;5;4;R$ 2,97;R$ 4,24;20
04/01/2019;6;2;R$ 2,85;R$ 3,00;31
04/01/2019;2;8;R$ 1,14;R$ 1,20;86
04/01/2019;2;10;R$ 1,09;R$ 1,14;36
04/01/2019;6;2;R$ 2,91;R$ 3,06;105
04/01/2019;7;2;R$ 0,98;R$ 1,40;71
04/01/2019;3;7;R$ 0,79;R$ 0,99;33
04/01/2019;5;10;R$ 3,03;R$ 4,32;86
04/01/2019;6;1;R$ 2,79;R$ 2,94;80
04/01/2019;1;10;R$ 6,55;R$ 8,18;74
04/01/2019;9;4;R$ 2,64;R$ 2,78;93
04/01/2019;9;2;R$ 2,64;R$ 2,78;104
05/01/2019;1;8;R$ 6,68;R$ 8,35;81
05/01/2019;1;9;R$ 6,68;R$ 8,35;29
05/01/2019;7;7;R$ 1,01;R$ 1,44;95
05/01/2019;1;6;R$ 6,68;R$ 8,35;56
05/01/2019;2;5;R$ 1,12;R$ 1,18;26
05/01/2019;9;7;R$ 2,64;R$ 2,78;64
05/01/2019;9;5;R$ 8,13;R$ 8,56;97
05/01/2019;4;1;R$ 1,69;R$ 2,41;41
05/01/2019;1;2;R$ 6,68;R$ 8,35;49
05/01/2019;4;3;R$ 1,69;R$ 2,41;21
05/01/2019;4;10;R$ 1,69;R$ 2,41;37
05/01/2019;1;1;R$ 6,68;R$ 8,35;65
05/01/2019;2;5;R$ 1,12;R$ 1,18;96
05/01/2019;6;8;R$ 2,85;R$ 3,00;92
05/01/2019;6;2;R$ 2,85;R$ 3,00;30
05/01/2019;4;6;R$ 1,69;R$ 2,41;45
05/01/2019;6;9;R$ 2,85;R$ 3,00;50
05/01/2019;6;3;R$ 2,85;R$ 3,00;92
05/01/2019;6;5;R$ 2,85;R$ 3,00;30
05/01/2019;1;3;R$ 6,68;R$ 8,35;49
05/01/2019;5;5;R$ 3,06;R$ 4,37;30
05/01/2019;7;5;R$ 1,01;R$ 1,44;97
05/01/2019;7;3;R$ 1,04;R$ 1,48;77
05/01/2019;4;6;R$ 1,70;R$ 2,43;19
05/01/2019;4;4;R$ 1,70;R$ 2,43;43
05/01/2019;7;6;R$ 1,00;R$ 1,43;14
05/01/2019;3;8;R$ 0,78;R$ 0,97;73
05/01/2019;3;5;R$ 0,78;R$ 0,98;46
05/01/2019;5;7;R$ 2,91;R$ 4,15;29
05/01/2019;6;1;R$ 2,94;R$ 3,09;62
05/01/2019;5;1;R$ 3,03;R$ 4,32;22
05/01/2019;2;4;R$ 1,12;R$ 1,18;48
05/01/2019;4;9;R$ 1,69;R$ 2,41;39
05/01/2019;9;3;R$ 2,64;R$ 2,78;20
05/01/2019;1;8;R$ 6,88;R$ 8,60;31
05/01/2019;9;5;R$ 2,67;R$ 2,81;86
05/01/2019;3;9;R$ 0,75;R$ 0,94;93
05/01/2019;4;1;R$ 1,67;R$ 2,39;40
05/01/2019;7;6;R$ 1,04;R$ 1,48;113
05/01/2019;9;4;R$ 2,61;R$ 2,75;14
06/01/2019;3;4;R$ 0,77;R$ 0,96;28
06/01/2019;4;3;R$ 1,69;R$ 2,41;10
06/01/2019;3;7;R$ 0,77;R$ 0,96;65
06/01/2019;4;3;R$ 1,69;R$ 2,41;38
06/01/2019;9;6;R$ 8,13;R$ 8,56;110
06/01/2019;4;8;R$ 1,69;R$ 2,41;22
06/01/2019;2;10;R$ 1,12;R$ 1,18;33
06/01/2019;5;7;R$ 3,00;R$ 4,28;111
06/01/2019;9;6;R$ 2,64;R$ 2,78;13
06/01/2019;7;1;R$ 1,01;R$ 1,44;72
06/01/2019;7;6;R$ 1,01;R$ 1,44;111
06/01/2019;3;7;R$ 0,77;R$ 0,96;93
06/01/2019;4;4;R$ 1,69;R$ 2,41;48
06/01/2019;9;2;R$ 2,64;R$ 2,78;43
07/01/2019;6;2;R$ 2,85;R$ 3,00;32
07/01/2019;6;8;R$ 2,85;R$ 3,00;96
07/01/2019;9;7;R$ 2,64;R$ 2,78;62
07/01/2019;1;5;R$ 6,68;R$ 8,35;18
07/01/2019;2;9;R$ 1,12;R$ 1,18;101
07/01/2019;4;3;R$ 1,69;R$ 2,41;106
07/01/2019;5;3;R$ 3,00;R$ 4,28;34
07/01/2019;1;4;R$ 6,68;R$ 8,35;97
07/01/2019;7;6;R$ 1,01;R$ 1,44;91
07/01/2019;9;9;R$ 2,64;R$ 2,78;86
07/01/2019;9;10;R$ 8,13;R$ 8,56;18
07/01/2019;9;7;R$ 8,13;R$ 8,56;33
07/01/2019;6;2;R$ 2,85;R$ 3,00;52
07/01/2019;7;7;R$ 1,01;R$ 1,44;109
07/01/2019;1;9;R$ 6,68;R$ 8,35;82
07/01/2019;1;5;R$ 6,68;R$ 8,35;91
07/01/2019;2;2;R$ 1,12;R$ 1,18;82
07/01/2019;2;2;R$ 1,12;R$ 1,18;15
07/01/2019;5;2;R$ 3,00;R$ 4,28;58
07/01/2019;5;6;R$ 3,00;R$ 4,28;95
07/01/2019;7;6;R$ 1,01;R$ 1,44;70
07/01/2019;5;5;R$ 3,00;R$ 4,28;56
08/01/2019;2;5;R$ 1,12;R$ 1,18;54
08/01/2019;4;7;R$ 1,69;R$ 2,41;31
08/01/2019;7;5;R$ 1,01;R$ 1,44;41
08/01/2019;4;4;R$ 1,69;R$ 2,41;49
08/01/2019;9;6;R$ 2,64;R$ 2,78;66
08/01/2019;2;1;R$ 1,12;R$ 1,18;103
08/01/2019;4;7;R$ 1,69;R$ 2,41;12
08/01/2019;3;5;R$ 0,77;R$ 0,96;65
08/01/2019;7;10;R$ 1,01;R$ 1,44;46
08/01/2019;9;4;R$ 8,13;R$ 8,56;19
08/01/2019;4;3;R$ 1,69;R$ 2,41;104
08/01/2019;7;3;R$ 1,01;R$ 1,44;46
08/01/2019;9;5;R$ 8,13;R$ 8,56;70
08/01/2019;6;9;R$ 2,85;R$ 3,00;35
08/01/2019;6;6;R$ 2,85;R$ 3,00;44
09/01/2019;5;3;R$ 3,00;R$ 4,28;20
09/01/2019;5;5;R$ 3,00;R$ 4,28;98
09/01/2019;9;3;R$ 8,13;R$ 8,56;47
09/01/2019;7;1;R$ 1,01;R$ 1,44;72
09/01/2019;6;7;R$ 2,85;R$ 3,00;106
09/01/2019;7;2;R$ 1,01;R$ 1,44;77
09/01/2019;9;10;R$ 2,64;R$ 2,78;32
09/01/2019;3;1;R$ 0,77;R$ 0,96;37
09/01/2019;4;3;R$ 1,69;R$ 2,41;88
09/01/2019;4;1;R$ 1,69;R$ 2,41;13
09/01/2019;5;10;R$ 3,00;R$ 4,28;111
10/01/2019;5;3;R$ 3,00;R$ 4,28;100
10/01/2019;6;8;R$ 2,85;R$ 3,00;86
10/01/2019;9;6;R$ 2,64;R$ 2,78;25
10/01/2019;7;2;R$ 1,01;R$ 1,44;50
10/01/2019;9;4;R$ 8,13;R$ 8,56;62
10/01/2019;4;5;R$ 1,69;R$ 2,41;77
10/01/2019;9;3;R$ 2,64;R$ 2,78;37
10/01/2019;9;7;R$ 2,64;R$ 2,78;65
10/01/2019;4;5;R$ 1,69;R$ 2,41;107
10/01/2019;2;5;R$ 1,12;R$ 1,18;16
10/01/2019;5;1;R$ 3,00;R$ 4,28;112
10/01/2019;2;2;R$ 1,12;R$ 1,18;54
10/01/2019;4;4;R$ 1,69;R$ 2,41;51
10/01/2019;2;1;R$ 1,12;R$ 1,18;35
10/01/2019;3;10;R$ 0,77;R$ 0,96;76
10/01/2019;2;3;R$ 1,12;R$ 1,18;30
10/01/2019;9;9;R$ 2,64;R$ 2,78;26
10/01/2019;5;5;R$ 3,00;R$ 4,28;25
10/01/2019;5;6;R$ 3,00;R$ 4,28;58
10/01/2019;7;7;R$ 1,01;R$ 1,44;105
10/01/2019;7;2;R$ 1,01;R$ 1,44;95
11/01/2019;1;10;R$ 6,68;R$ 8,35;61
11/01/2019;1;9;R$ 6,68;R$ 8,35;65
11/01/2019;6;2;R$ 2,85;R$ 3,00;84
11/01/2019;9;3;R$ 8,13;R$ 8,56;91
11/01/2019;3;6;R$ 0,77;R$ 0,96;29
11/01/2019;6;6;R$ 2,85;R$ 3,00;71
11/01/2019;6;7;R$ 2,85;R$ 3,00;35
11/01/2019;7;2;R$ 1,01;R$ 1,44;59
11/01/2019;1;10;R$ 6,68;R$ 8,35;104
11/01/2019;3;5;R$ 0,77;R$ 0,96;47
11/01/2019;4;4;R$ 1,69;R$ 2,41;95
11/01/2019;6;4;R$ 2,85;R$ 3,00;66
11/01/2019;6;10;R$ 2,85;R$ 3,00;107
11/01/2019;4;7;R$ 1,69;R$ 2,41;69
11/01/2019;3;5;R$ 0,77;R$ 0,96;91
11/01/2019;9;1;R$ 8,13;R$ 8,56;52
11/01/2019;2;9;R$ 1,12;R$ 1,18;95
11/01/2019;5;3;R$ 3,00;R$ 4,28;90
11/01/2019;7;8;R$ 1,01;R$ 1,44;20
11/01/2019;2;9;R$ 1,12;R$ 1,18;91
11/01/2019;5;9;R$ 3,00;R$ 4,28;98
11/01/2019;7;8;R$ 1,01;R$ 1,44;42
11/01/2019;6;2;R$ 2,85;R$ 3,00;56
11/01/2019;7;4;R$ 1,01;R$ 1,44;103
12/01/2019;6;4;R$ 2,85;R$ 3,00;112
12/01/2019;1;7;R$ 6,68;R$ 8,35;52
12/01/2019;7;10;R$ 1,01;R$ 1,44;43
12/01/2019;9;4;R$ 8,13;R$ 8,56;51
12/01/2019;5;7;R$ 3,00;R$ 4,28;83
12/01/2019;5;7;R$ 3,00;R$ 4,28;107
12/01/2019;7;8;R$ 1,01;R$ 1,44;80
12/01/2019;9;5;R$ 8,13;R$ 8,56;15
12/01/2019;2;2;R$ 1,12;R$ 1,18;65
12/01/2019;2;4;R$ 1,12;R$ 1,18;65
12/01/2019;2;4;R$ 1,12;R$ 1,18;56
12/01/2019;4;9;R$ 1,69;R$ 2,41;65
12/01/2019;4;10;R$ 1,69;R$ 2,41;28
12/01/2019;5;3;R$ 3,00;R$ 4,28;24
12/01/2019;2;4;R$ 1,12;R$ 1,18;53
12/01/2019;6;2;R$ 2,85;R$ 3,00;79
13/01/2019;9;4;R$ 2,64;R$ 2,78;39
13/01/2019;4;6;R$ 1,69;R$ 2,41;38
13/01/2019;9;10;R$ 2,64;R$ 2,78;47
13/01/2019;2;5;R$ 1,12;R$ 1,18;18
13/01/2019;4;8;R$ 1,69;R$ 2,41;115
13/01/2019;9;6;R$ 2,64;R$ 2,78;60
13/01/2019;9;5;R$ 2,64;R$ 2,78;22
13/01/2019;2;8;R$ 1,12;R$ 1,18;91
13/01/2019;5;2;R$ 3,00;R$ 4,28;28
13/01/2019;5;2;R$ 3,00;R$ 4,28;48
13/01/2019;9;5;R$ 8,13;R$ 8,56;77
13/01/2019;2;2;R$ 1,12;R$ 1,18;28
13/01/2019;2;10;R$ 1,12;R$ 1,18;79
13/01/2019;4;3;R$ 1,69;R$ 2,41;88
13/01/2019;5;7;R$ 3,00;R$ 4,28;15
14/01/2019;1;1;R$ 6,68;R$ 8,35;22
14/01/2019;5;4;R$ 3,00;R$ 4,28;28
14/01/2019;6;1;R$ 2,85;R$ 3,00;17
14/01/2019;9;3;R$ 8,13;R$ 8,56;91
14/01/2019;1;6;R$ 6,68;R$ 8,35;11
14/01/2019;1;9;R$ 6,68;R$ 8,35;91
14/01/2019;3;10;R$ 0,77;R$ 0,96;78
14/01/2019;5;4;R$ 3,00;R$ 4,28;69
14/01/2019;4;10;R$ 1,69;R$ 2,41;77
14/01/2019;5;2;R$ 3,00;R$ 4,28;115
14/01/2019;5;6;R$ 3,00;R$ 4,28;11
14/01/2019;4;7;R$ 1,69;R$ 2,41;99
14/01/2019;6;9;R$ 2,85;R$ 3,00;112
14/01/2019;5;10;R$ 3,00;R$ 4,28;19
14/01/2019;1;1;R$ 6,68;R$ 8,35;114
14/01/2019;4;5;R$ 1,69;R$ 2,41;51
15/01/2019;1;4;R$ 6,68;R$ 8,35;10
15/01/2019;5;10;R$ 3,00;R$ 4,28;88
15/01/2019;9;9;R$ 8,13;R$ 8,56;22
15/01/2019;5;1;R$ 3,00;R$ 4,28;33
15/01/2019;9;8;R$ 2,64;R$ 2,78;87
15/01/2019;1;8;R$ 6,68;R$ 8,35;24
15/01/2019;2;8;R$ 1,12;R$ 1,18;108
15/01/2019;9;2;R$ 8,13;R$ 8,56;100
15/01/2019;9;1;R$ 8,13;R$ 8,56;63
15/01/2019;7;5;R$ 1,01;R$ 1,44;19
15/01/2019;6;7;R$ 2,85;R$ 3,00;21
15/01/2019;3;9;R$ 0,77;R$ 0,96;39
15/01/2019;5;7;R$ 3,00;R$ 4,28;12
15/01/2019;2;5;R$ 1,12;R$ 1,18;98
15/01/2019;3;4;R$ 0,77;R$ 0,96;104
15/01/2019;3;7;R$ 0,77;R$ 0,96;47
15/01/2019;5;3;R$ 3,00;R$ 4,28;77
15/01/2019;1;8;R$ 6,68;R$ 8,35;44
15/01/2019;1;8;R$ 6,68;R$ 8,35;79
15/01/2019;9;2;R$ 2,64;R$ 2,78;17
15/01/2019;5;3;R$ 3,00;R$ 4,28;101
15/01/2019;2;7;R$ 1,12;R$ 1,18;55
15/01/2019;4;4;R$ 1,69;R$ 2,41;51
16/01/2019;2;4;R$ 1,12;R$ 1,18;29
16/01/2019;5;7;R$ 3,00;R$ 4,28;78
16/01/2019;9;7;R$ 2,64;R$ 2,78;45
16/01/2019;2;3;R$ 1,12;R$ 1,18;22
16/01/2019;2;4;R$ 1,12;R$ 1,18;23
16/01/2019;3;1;R$ 0,77;R$ 0,96;93
16/01/2019;9;5;R$ 2,64;R$ 2,78;38
16/01/2019;2;8;R$ 1,12;R$ 1,18;74
16/01/2019;3;1;R$ 0,77;R$ 0,96;62
16/01/2019;4;1;R$ 1,69;R$ 2,41;51
16/01/2019;9;10;R$ 8,13;R$ 8,56;110
16/01/2019;4;6;R$ 1,69;R$ 2,41;59
16/01/2019;6;6;R$ 2,85;R$ 3,00;103
16/01/2019;2;3;R$ 1,12;R$ 1,18;81
16/01/2019;2;8;R$ 1,12;R$ 1,18;88
16/01/2019;7;7;R$ 1,01;R$ 1,44;20
16/01/2019;9;10;R$ 2,64;R$ 2,78;68
17/01/2019;2;6;R$ 1,12;R$ 1,18;76
17/01/2019;7;5;R$ 1,01;R$ 1,44;23
17/01/2019;1;8;R$ 6,68;R$ 8,35;36
17/01/2019;5;1;R$ 3,00;R$ 4,28;79
17/01/2019;2;7;R$ 1,12;R$ 1,18;68
17/01/2019;3;5;R$ 0,77;R$ 0,96;50
17/01/2019;2;1;R$ 1,12;R$ 1,18;61
17/01/2019;3;4;R$ 0,77;R$ 0,96;48
17/01/2019;4;4;R$ 1,69;R$ 2,41;103
17/01/2019;5;1;R$ 3,00;R$ 4,28;72
18/01/2019;1;8;R$ 6,68;R$ 8,35;101
18/01/2019;1;8;R$ 6,68;R$ 8,35;74
18/01/2019;3;10;R$ 0,77;R$ 0,96;106
18/01/2019;4;7;R$ 1,69;R$ 2,41;106
18/01/2019;7;3;R$ 1,01;R$ 1,44;77
18/01/2019;9;4;R$ 2,64;R$ 2,78;74
18/01/2019;9;4;R$ 8,13;R$ 8,56;101
18/01/2019;4;10;R$ 1,69;R$ 2,41;110
18/01/2019;6;6;R$ 2,85;R$ 3,00;98
18/01/2019;7;6;R$ 1,01;R$ 1,44;31
18/01/2019;4;7;R$ 1,69;R$ 2,41;65
18/01/2019;6;7;R$ 2,85;R$ 3,00;105
18/01/2019;6;2;R$ 2,85;R$ 3,00;79
18/01/2019;9;3;R$ 2,64;R$ 2,78;89
18/01/2019;9;5;R$ 2,64;R$ 2,78;59
18/01/2019;3;5;R$ 0,77;R$ 0,96;41
18/01/2019;5;7;R$ 3,00;R$ 4,28;75
18/01/2019;5;5;R$ 3,00;R$ 4,28;59
18/01/2019;6;10;R$ 2,85;R$ 3,00;38
18/01/2019;4;1;R$ 1,69;R$ 2,41;94
18/01/2019;7;1;R$ 1,01;R$ 1,44;31
18/01/2019;1;8;R$ 6,68;R$ 8,35;103
18/01/2019;4;10;R$ 1,69;R$ 2,41;111
18/01/2019;4;9;R$ 1,69;R$ 2,41;11
18/01/2019;5;9;R$ 3,00;R$ 4,28;78
18/01/2019;5;3;R$ 3,00;R$ 4,28;108
18/01/2019;6;4;R$ 2,85;R$ 3,00;43
18/01/2019;9;5;R$ 8,13;R$ 8,56;76
18/01/2019;3;10;R$ 0,77;R$ 0,96;67
18/01/2019;5;6;R$ 3,00;R$ 4,28;64
18/01/2019;7;9;R$ 1,01;R$ 1,44;74
18/01/2019;7;10;R$ 1,01;R$ 1,44;113
18/01/2019;1;6;R$ 6,68;R$ 8,35;79
18/01/2019;9;2;R$ 2,64;R$ 2,78;114
19/01/2019;1;8;R$ 6,68;R$ 8,35;101
19/01/2019;5;10;R$ 3,00;R$ 4,28;63
19/01/2019;3;3;R$ 0,77;R$ 0,96;60
19/01/2019;9;10;R$ 2,64;R$ 2,78;39
19/01/2019;9;6;R$ 2,64;R$ 2,78;113
19/01/2019;3;3;R$ 0,77;R$ 0,96;98
19/01/2019;9;8;R$ 8,13;R$ 8,56;41
19/01/2019;9;2;R$ 2,64;R$ 2,78;71
19/01/2019;1;3;R$ 6,68;R$ 8,35;39
19/01/2019;5;6;R$ 3,00;R$ 4,28;60
19/01/2019;6;7;R$ 2,85;R$ 3,00;83
19/01/2019;9;7;R$ 8,13;R$ 8,56;69
19/01/2019;3;5;R$ 0,77;R$ 0,96;47
19/01/2019;9;8;R$ 2,64;R$ 2,78;53
19/01/2019;6;5;R$ 2,85;R$ 3,00;81
19/01/2019;1;3;R$ 6,68;R$ 8,35;76
19/01/2019;2;3;R$ 1,12;R$ 1,18;72
19/01/2019;9;9;R$ 2,64;R$ 2,78;96
20/01/2019;9;5;R$ 2,64;R$ 2,78;97
20/01/2019;3;9;R$ 0,77;R$ 0,96;43
20/01/2019;3;4;R$ 0,77;R$ 0,96;76
20/01/2019;7;5;R$ 1,01;R$ 1,44;34
20/01/2019;9;8;R$ 2,64;R$ 2,78;12
20/01/2019;9;1;R$ 8,13;R$ 8,56;17
20/01/2019;1;5;R$ 6,68;R$ 8,35;112
20/01/2019;3;3;R$ 0,77;R$ 0,96;62
20/01/2019;5;5;R$ 3,00;R$ 4,28;74
20/01/2019;7;4;R$ 1,01;R$ 1,44;92
